周,时刻,乘客叫单数,司机应答的单数,完成的单数,在线司机数
周一,1,870,742,653,3496
周一,2,489,411,379,2569
周一,3,292,231,213,2185
周一,4,159,109,97,2073
周一,5,141,82,72,2419
周一,6,297,136,121,3235
周一,7,1669,1321,1207,5290
周一,8,6348,4212,3865,6902
周一,9,12658,6235,5595,7327
周一,10,8806,5853,5264,7464
周一,11,3798,3341,3053,7386
周一,12,3097,2872,2668,6838
周一,13,3014,2785,2613,6272
周一,14,3723,3449,3212,6332
周一,15,3281,3035,2816,6634
周一,16,3040,2818,2576,6860
周一,17,3625,3399,3083,7383
周一,18,4884,4541,4146,8549
周一,19,6298,5804,5311,8793
周一,20,6143,5786,5280,9045
周一,21,5478,5199,4869,9202
周一,22,6620,6209,5757,9003
周一,23,4974,4641,4228,8104
周一,24,2090,1951,1763,6457
周二,1,947,863,782,4279
周二,2,533,481,431,3134
周二,3,323,259,228,2679
周二,4,175,139,124,2473
周二,5,163,117,106,2672
周二,6,211,117,92,3257
周二,7,1214,952,876,5043
周二,8,5423,3751,3435,6759
周二,9,11555,6021,5464,7343
周二,10,8941,6093,5534,7516
周二,11,4483,3917,3620,7514
周二,12,3664,3390,3125,7338
周二,13,3386,3120,2886,6774
周二,14,4303,3950,3614,6512
周二,15,3776,3506,3164,6744
周二,16,3696,3414,3083,7020
周二,17,4217,3878,3466,7378
周二,18,5800,5059,4599,8398
周二,19,7538,6261,5651,8631
周二,20,6623,6084,5572,8778
周二,21,5886,5577,5164,8789
周二,22,7771,6462,5941,8440
周二,23,6972,5018,4492,7661
周二,24,2646,2301,2073,6282
周三,1,1163,1078,970,4538
周三,2,564,512,462,3337
周三,3,345,301,256,2842
周三,4,197,160,138,2590
周三,5,125,87,70,2802
周三,6,230,146,123,3386
周三,7,1207,992,916,5327
周三,8,4902,3948,3611,7357
周三,9,10272,6700,6084,8095
周三,10,9059,6754,6106,8242
周三,11,4672,4210,3820,8217
周三,12,3845,3597,3322,8035
周三,13,3699,3410,3130,7360
周三,14,4595,4254,3921,7032
周三,15,4086,3770,3444,7425
周三,16,3858,3545,3199,7788
周三,17,4722,4335,3848,8118
周三,18,6477,5728,5160,9193
周三,19,8610,7015,6234,9323
周三,20,7669,6783,6143,9441
周三,21,6327,5957,5510,9387
周三,22,8476,6941,6382,8904
周三,23,8063,5660,5124,7959
周三,24,2833,2522,2284,6610
周四,1,1245,1146,1039,4781
周四,2,675,612,547,3488
周四,3,435,382,336,2970
周四,4,258,221,191,2677
周四,5,163,112,98,2846
周四,6,260,157,138,3471
周四,7,1382,1077,989,5261
周四,8,5883,4341,3973,7194
周四,9,12104,6973,6354,7871
周四,10,10311,6841,6217,8099
周四,11,5365,4675,4233,8089
周四,12,4417,4151,3811,8008
周四,13,3369,3123,2915,7282
周四,14,4896,4426,4089,6983
周四,15,4531,4140,3734,7277
周四,16,4087,3779,3440,7574
周四,17,5248,4672,4112,7935
周四,18,7502,6131,5558,8982
周四,19,9064,6897,6198,9238
周四,20,7244,6408,5846,9363
周四,21,6564,6177,5770,9366
周四,22,10127,7620,7014,8989
周四,23,10133,6114,5388,8367
周四,24,3667,2929,2614,6778
周五,1,1318,1174,1031,4939
周五,2,662,604,530,3572
周五,3,472,396,355,2966
周五,4,242,197,162,2745
周五,5,157,96,88,3011
周五,6,218,137,119,3973
周五,7,1448,1259,1138,6576
周五,8,5608,4962,4601,8524
周五,9,11134,8176,7440,9089
周五,10,10553,7572,6829,9192
周五,11,5581,4848,4352,9137
周五,12,4667,4308,3940,8831
周五,13,4504,4134,3775,8021
周五,14,5847,5140,4661,7520
周五,15,6054,4937,4380,7622
周五,16,5770,4848,4262,7917
周五,17,7963,5445,4778,8613
周五,18,9890,7167,6396,9975
周五,19,13325,7720,6936,10216
周五,20,10801,7924,7099,10443
周五,21,7881,7300,6634,10682
周五,22,9749,8637,7929,10429
周五,23,10067,8104,7339,9981
周五,24,6709,4898,4414,8791
周六,1,2952,2468,2181,6254
周六,2,1175,1116,994,4582
周六,3,827,741,677,3651
周六,4,517,453,400,3221
周六,5,326,261,228,3165
周六,6,434,287,247,3500
周六,7,949,674,577,4368
周六,8,2680,2051,1869,5622
周六,9,4930,3758,3335,6704
周六,10,4265,3796,3444,7319
周六,11,4610,4150,3772,7599
周六,12,5646,4984,4475,7656
周六,13,5513,4854,4384,7510
周六,14,5766,5175,4710,7698
周六,15,5530,5046,4634,8096
周六,16,4807,4445,4080,8399
周六,17,5012,4647,4266,8801
周六,18,5902,5469,4986,8826
周六,19,5798,5458,4997,8818
周六,20,4539,4282,3957,8651
周六,21,4551,4228,3903,8501
周六,22,5245,4968,4549,8364
周六,23,4662,4377,3972,7749
周六,24,2936,2723,2452,6754
周日,1,2767,2375,1970,5802
周日,2,1103,1094,954,4314
周日,3,799,723,623,3290
周日,4,505,419,379,3065
周日,5,302,259,206,2945
周日,6,424,271,227,3420
周日,7,863,611,533,4247
周日,8,2604,1852,1843,5206
周日,9,4752,3404,3125,6270
周日,10,4067,3782,3233,6739
周日,11,4393,3957,3763,7336
周日,12,5313,4497,4440,7654
周日,13,5112,4431,4058,7005
周日,14,5727,5038,4537,7680
周日,15,5036,4900,4243,7324
周日,16,4615,4379,3842,8326
周日,17,4536,4394,3963,8667
周日,18,5758,5056,4979,8623
周日,19,5752,5144,4695,8661
周日,20,4446,4187,3643,7979
周日,21,4360,4105,3863,7932
周日,22,5158,4931,4130,7679
周日,23,4653,4346,3804,7354
周日,24,2705,2487,2353,6366